Unit #AA000110H;6903.000000;6057.847656
Unit #AA000780E;1290.000000;1119.298950
Unit #AA001003J;1127.000000;662.014709
Unit #AA001172W;2841.000000;2444.871094
Unit #AA001336W;4225.000000;3702.470215
Unit #AA001467P;6279.000000;5628.560547
Module #AA100184R;34967.000000;33396.921875
Plant #AA200686E;249998.000000;220481.015625
Facility complex #AA400033V;5118677.000000;4755964.000000
Facility complex #AA400066H;6800627.000000;5987418.500000
Unit #AB001036S;1141.000000;500.157043
Module #AB100295M;108991.000000;101478.781250
Module #AB100651T;102211.000000;98821.054688
Module #AB101214M;102379.000000;97351.601562
Plant #AB200558H;312618.000000;282022.750000
Unit #AC000427N;2910.000000;2474.060059
Unit #AC000855L;8197.000000;7046.432129
Unit #AC001001Q;4743.000000;4090.638672
Unit #AC001361U;6803.000000;6480.367188
Module #AC100676S;98738.000000;92595.289062
Unit #AD000775J;1587.000000;1455.543945
Unit #AD000808V;5272.000000;4761.019531
Unit #AD001111O;6832.000000;5919.703613
Unit #AD001438T;7220.000000;6138.499023
Module #AD100391S;92886.000000;82922.296875
Module #AD101195V;93543.000000;89065.539062
Plant #AD200604P;898281.000000;827513.437500
Plant #AD300016E;1575160.000000;1315568.750000
Facility complex #AD400063M;6854367.000000;6044260.500000
Unit #AE000136U;1268.000000;1121.857300
Unit #AE000301Q;10846.000000;10169.530273
Unit #AE000968A;6527.000000;6391.176270
Unit #AE001291R;4730.000000;4569.637207
Module #AE100342A;87054.000000;73573.523438
Module #AE100708Q;103079.000000;99568.367188
Module #AE101127Z;13275.000000;11266.273438
Plant #AE300240T;1091197.000000;230376.812500
Plant #AF200537W;916511.000000;894841.687500
Plant #AF300000M;4037642.000000;3821743.750000
Plant #AF300146K;1858167.000000;1758811.375000
Unit #AG000202Y;2336.000000;2188.370850
Unit #AG001521A;6371.000000;5816.596191
Module #AG100201E;36879.000000;31244.802734
Module #AG100335Q;102201.000000;90535.101562
Module #AG100359V;108594.000000;97638.679688
Module #AG101135X;76648.000000;74980.953125
Plant #AG200703I;1095908.000000;1070384.250000
Plant #AG200811W;116652.000000;62910.289062
Unit #AH000338P;4604.000000;4097.602539
Unit #AH000498S;5465.000000;4736.670410
Unit #AH000525V;5800.000000;5329.310059
Unit #AH000809Q;6760.000000;6328.394043
Unit #AH001005J;6748.000000;6114.430664
Unit #AH001416G;5955.000000;5264.900391
Module #AH100183Z;11473.000000;6905.080078
Module #AH100267D;89534.000000;86237.898438
Module #AH100296E;54960.000000;54319.148438
Plant #AH200488I;952385.000000;848512.625000
Unit #AI000061H;2389.000000;2184.957520
Unit #AI001505C;3498.000000;3229.596680
Plant #AI200053H;578704.000000;551624.437500
Plant #AI200596A;1084808.000000;1060246.875000
Plant #AI300092J;1279015.000000;1171423.625000
Plant #AI300236T;5654042.000000;5394866.000000
Unit #AJ001446L;7894.000000;7673.955078
Module #AJ100325B;93151.000000;79689.335938
Module #AJ100789A;40642.000000;36997.796875
Module #AJ101149W;70789.000000;67587.828125
Plant #AJ200714L;512438.000000;466976.031250
Unit #AK000099O;5534.000000;4742.179688
Unit #AK000453H;6956.000000;6096.877930
Unit #AK000679F;2848.000000;2714.335693
Unit #AK001462Y;5613.000000;5345.387695
